label,precision_tfidf,recall_tfidf,f1_tfidf,support_tfidf,precision_rubert,recall_rubert,f1_rubert,support_rubert
online_crime,0.6440677966101694,0.7354838709677419,0.6867469879518072,155,0.6435643564356436,0.8387096774193549,0.7282913165266106,155
slavery,0.8345864661654135,0.7025316455696202,0.7628865979381443,158,0.8198757763975155,0.8354430379746836,0.8275862068965517,158
body_shaming,0.7189542483660131,0.6077348066298343,0.6586826347305389,181,0.8105263157894737,0.850828729281768,0.8301886792452831,181
prostitution,0.8304093567251462,0.7319587628865979,0.7780821917808219,194,0.8078817733990148,0.845360824742268,0.8261964735516373,194
terrorism,0.8066298342541437,0.7487179487179487,0.776595744680851,195,0.868020304568528,0.8769230769230769,0.8724489795918368,195
suicide,0.8088235294117647,0.7819905213270142,0.7951807228915663,211,0.9333333333333332,0.9289099526066352,0.9311163895486936,211
racism,0.6298076923076923,0.5550847457627118,0.5900900900900901,236,0.7011494252873564,0.7754237288135594,0.7364185110663984,236
sexism,0.6682692307692307,0.5815899581589958,0.6219239373601789,239,0.6375838926174496,0.7949790794979079,0.707635009310987,239
health_shaming,0.7878787878787878,0.6,0.6812227074235808,260,0.8373015873015873,0.8115384615384615,0.82421875,260
offline_crime,0.576271186440678,0.3695652173913043,0.4503311258278146,276,0.6219931271477663,0.6557971014492754,0.6384479717813051,276
social_injustice,0.50187265917603,0.4768683274021352,0.4890510948905109,281,0.5444126074498568,0.6761565836298933,0.6031746031746031,281
sexual_minorities,0.896551724137931,0.7050847457627119,0.7893738140417458,295,0.821656050955414,0.8745762711864407,0.8472906403940886,295
pornography,0.5971223021582733,0.5514950166112956,0.5734024179620034,301,0.6160458452722063,0.7142857142857143,0.6615384615384615,301
gambling,0.8542372881355932,0.8155339805825242,0.8344370860927153,309,0.9006211180124224,0.9385113268608414,0.919175911251981,309
politics,0.4558404558404558,0.4938271604938271,0.4740740740740741,324,0.6205962059620597,0.7067901234567902,0.6608946608946609,324
weapons,0.803448275862069,0.6996996996996997,0.7479935794542536,333,0.853448275862069,0.8918918918918919,0.8722466960352423,333
drugs,0.9306930693069309,0.8131487889273357,0.8679593721144968,578,0.9435897435897436,0.9550173010380624,0.94926913155632,578
religion,0.9173693086003372,0.8903436988543372,0.903654485049834,611,0.9532258064516128,0.967266775777414,0.9601949634443542,611
