label,precision,recall,f1,support
online_crime,0.6440677966101694,0.7354838709677419,0.6867469879518072,155
slavery,0.8345864661654135,0.7025316455696202,0.7628865979381443,158
body_shaming,0.7189542483660131,0.6077348066298343,0.6586826347305389,181
prostitution,0.8304093567251462,0.7319587628865979,0.7780821917808219,194
terrorism,0.8066298342541437,0.7487179487179487,0.776595744680851,195
suicide,0.8088235294117647,0.7819905213270142,0.7951807228915663,211
racism,0.6298076923076923,0.5550847457627118,0.5900900900900901,236
sexism,0.6682692307692307,0.5815899581589958,0.6219239373601789,239
health_shaming,0.7878787878787878,0.6,0.6812227074235808,260
offline_crime,0.576271186440678,0.3695652173913043,0.4503311258278146,276
social_injustice,0.50187265917603,0.47686832740213525,0.48905109489051096,281
sexual_minorities,0.896551724137931,0.7050847457627119,0.7893738140417458,295
pornography,0.5971223021582733,0.5514950166112956,0.5734024179620034,301
gambling,0.8542372881355932,0.8155339805825242,0.8344370860927153,309
politics,0.45584045584045585,0.49382716049382713,0.4740740740740741,324
weapons,0.803448275862069,0.6996996996996997,0.7479935794542536,333
drugs,0.9306930693069307,0.8131487889273357,0.8679593721144968,578
religion,0.9173693086003373,0.8903436988543372,0.9036544850498339,611
