label,precision,recall,f1,support
online_crime,0.6435643564356436,0.8387096774193549,0.7282913165266106,155
slavery,0.8198757763975155,0.8354430379746836,0.8275862068965517,158
body_shaming,0.8105263157894737,0.850828729281768,0.8301886792452831,181
prostitution,0.8078817733990148,0.845360824742268,0.8261964735516373,194
terrorism,0.868020304568528,0.8769230769230769,0.8724489795918368,195
suicide,0.9333333333333333,0.9289099526066351,0.9311163895486936,211
racism,0.7011494252873564,0.7754237288135594,0.7364185110663984,236
sexism,0.6375838926174496,0.7949790794979079,0.707635009310987,239
health_shaming,0.8373015873015873,0.8115384615384615,0.82421875,260
offline_crime,0.6219931271477663,0.6557971014492754,0.6384479717813051,276
social_injustice,0.5444126074498568,0.6761565836298933,0.6031746031746031,281
sexual_minorities,0.821656050955414,0.8745762711864407,0.8472906403940886,295
pornography,0.6160458452722063,0.7142857142857143,0.6615384615384615,301
gambling,0.9006211180124224,0.9385113268608414,0.919175911251981,309
politics,0.6205962059620597,0.7067901234567902,0.6608946608946609,324
weapons,0.853448275862069,0.8918918918918919,0.8722466960352423,333
drugs,0.9435897435897436,0.9550173010380623,0.9492691315563199,578
religion,0.9532258064516129,0.967266775777414,0.9601949634443542,611
